rivalry_id,team1,team2
1, Oxford United,Swindon Town
2, Banbury United,Brackley Town
3, Aylesbury,Aylesbury United
4, Milton Keynes Dons,Wycombe Wanderers
5, Cambridge City,Cambridge United
6, Cambridge United,Histon
7, Cambridge United,Peterborough United
8, AFC Wimbledon,Milton Keynes Dons
9, AFC Dunstable,Dunstable Town
10, Luton Town,Stevenage
11, Luton Town,Watford
12, Milton Keynes Dons,Northampton Town
13, Milton Keynes Dons,Peterborough United
14, Northampton Town,Peterborough United
15, Kettering Town,Rushden & Diamonds
16, Oxford United,Reading 
17, Canvey Island,Concord Rangers
18, Ipswich Town,Norwich City
19, Colchester United,Southend United
20, Bury Town,Lowestoft Town
21, Arsenal,Tottenham Hotspur
22, Arsenal,Chelsea
23, Millwall,West Ham United
24, Enfield 1893,Enfield Town
25, Carshalton Athletic,Sutton United
26, Chelsea,Tottenham Hotspur
27, Crewe Alexandra,Port Vale
28, Derby County,Leicester City
29, Derby County,Nottingham Forest
30, Leicester City,Nottingham Forest
31, Chesterfield,Derby County
32, Grimsby Town,Lincoln City
33, Grantham Town,Stamford
34, Nottingham Forest,Notts County
35, Mansfield Town,Notts County
36, Halesowen Town,Stourbridge
37, Nuneaton Town,Tamworth
38, Coventry City,Leicester City
39, Chesterfield,Mansfield Town
40, Port Vale,Stoke City
41, Port Vale,Walsall
42, Aston Villa,Birmingham City
43, Shrewsbury Town,A.F.C. Telford United
44,Hednesford Town,Stafford Rangers
45,Stoke City,Wolverhampton Wanderers
46, Huddersfield Town,Oldham Athletic
47, Oldham Athletic,Rochdale
48, Accrington Stanley,Morecambe
49, Altrincham,Macclesfield Town
50, Bolton Wanderers,Wigan Athletic
51, Burnley,Blackburn Rovers
52, Blackpool,Fleetwood Town
53, Bury,Rochdale
54, Manchester City,Manchester United
55, Everton,Liverpool
56, Liverpool,Manchester United
57, Manchester City,Everton
58, Northwich Victoria,Witton Albion
59, Maine Road,West Didsbury & Chorlton
60, Hallam,Sheffield
61, Sheffield United,Sheffield Wednesday
62, Hyde United,Stalybridge Celtic
63, Newcastle United,Sunderland
64, Newcastle United,Middlesbrough
65, Middlesbrough,Sunderland
66, Leeds United,Manchester United
67, Blackpool,Preston North End
68, Bradford City,Bradford Park Avenue
69, Aldershot Town,Reading
70, Aldershot Town,Woking
71, Bristol City,Bristol Rovers
72, Salisbury,Winchester City
73, Plymouth Argyle,Portsmouth
74, Dorking,Dorking Wanderers
75, Eastbourne Borough,Lewes
76, Fleet Town,Fleet Spurs
77, Forest Green Rovers,Gloucester City
78, Gloucester City,Cheltenham Town
79, Brighton & Hove Albion,Crystal Palace
80, Peacehaven & Telscombe,Newhaven
81, Gillingham,Maidstone United
82, Totton,Winchester City
83, Bournemouth,Southampton
84, Aldershot Town,Farnborough Town
85, Portsmouth,Southampton
86, Gosport Borough,Havant & Waterlooville
87, Gloucester City,Worcester City
88, Margate,Ramsgate
